check,status,measured,claimed
A.1 energy(obs polynomial) == energy(coords),PASS,1.137e-13 (0.3% from the printed value),1.14e-13
A.1 max coefficient denominator <= Qmax=16,PASS,"denominators [2, 4, 8, 10], max 10","max 10, denominators {4,2,8,10}"
A.1 coefficient denominator set,PASS,"[2, 4, 8, 10]","{2,4,8,10}"
A.1 max coefficient denominator,PASS,10 (0.0% from the printed value),10
A.1 energy total degree,PASS,3,3
A.1 number of monomials in E,PASS,8,8 terms in eq. (acrobotE)
A.2 drift ordering monotone in dt,PASS,"{0.2: '6.51e-04', 0.05: '6.86e-07', 0.01: '2.20e-10'}",6.51e-4 > 6.86e-7 > 2.20e-10
A.2 relative energy drift at dt=0.2,PASS,0.0006509 (0.0% from the printed value),0.000651
A.2 relative energy drift at dt=0.05,PASS,6.858e-07 (0.0% from the printed value),6.86e-07
A.2 relative energy drift at dt=0.01,PASS,2.202e-10 (0.1% from the printed value),2.2e-10
A.2 observed convergence order,PASS,4.945 (0.1% from the printed value),4.95
A.3 balance-law residual scales as dt^2,PASS,"resid/dt^2 = ['0.99', '1.06', '1.53'], spread 1.54x","0.99 / 1.06 / 1.53, i.e. O(dt^2)"
A.3 mean balance residual at dt=0.05,PASS,0.00248 (0.0% from the printed value),0.00248
A.3 mean balance residual at dt=0.01,PASS,0.0001062 (0.2% from the printed value),0.000106
A.3 mean balance residual at dt=0.002,PASS,6.118e-06 (0.0% from the printed value),6.12e-06
A.3 residual/dt^2 = 0.99,PASS,0.9919 (0.2% from the printed value),0.99
A.3 residual/dt^2 = 1.06,PASS,1.062 (0.2% from the printed value),1.06
A.3 residual/dt^2 = 1.53,PASS,1.53 (0.0% from the printed value),1.53
A.4 reduced GB has 3 elements for a 2-generator ideal,PASS,3,3
A.4 all GB elements lie in the 2-generator ideal,PASS,True,True
"A.5 dictionary size M = C(9,3)",PASS,84,84
"A.5 trivial multiples of g1,g2 in degree<=3",PASS,14,14
A.5 raw nullspace dimension (14 multiples + energy),PASS,15,15
A.5 normal-form reduction kills all 14 trivial multiples,PASS,14,14
A.5 energy direction survives deflation,PASS,nonzero,nonzero
A.5 deflated nullspace dimension,PASS,1,1
A.5b raw degree<=3 rank of <g>,PASS,5,5 multiples m*g with deg m <= 1
A.5b orthogonal projection removes 1 direction,PASS,1,1
A.5b normal form removes all 5,PASS,5,5
A.6 FK identity residual over 5000 poses,PASS,7.286e-17 (0.1% from the printed value),7.29e-17
A.6 unit-norm residual,PASS,2.220e-16,0 exactly
A.6 dz identically zero,PASS,0.0,0.0
"A.6 in metres, l2 denominator exceeds Qmax=16",PASS,"denominators [10, 100]",10 and 100; 100 > 16
"A.6 in metres, the denominators are 10 and 100",PASS,"[10, 100]","[10, 100]"
"A.6 after rescaling by l1, both admissible",PASS,"denominators [1, 10]",1 and 10
"A.6 after rescaling by l1, the denominators are 1 and 10",PASS,"[1, 10]","[1, 10]"
A.8 energy template == envs.acrobot_energy_obs,PASS,2.842e-14 (0.1% from the printed value),2.84e-14
A.8 Reacher FK template vanishes on generated poses,PASS,8.882e-16 (0.0% from the printed value),8.88e-16
A.8 healthy system is not reported as a parameter fault,PASS,consistent with spec,anything but 'parameter fault'
A.8b the three reference generators are functionally independent,PASS,"kept [0, 1, 2], rank 3","all three kept, rank 3"
A.8b E^2 is discarded given E,PASS,"kept [0, 1, 2], rank 3","E^2 dropped, rank stays 3"
A.8b an affine image of E is discarded given E,PASS,"kept [0, 1, 2]",3E+7 dropped
"A.8b the subset is order-dependent, so it is not canonical",PASS,"kept [0] from [E^2, E]",E^2 kept when presented first
A.8b generic Jacobian rank of the reference set,PASS,3,3
A.8b zero residual is locally sufficient at fixed energy,PASS,"locally sufficient: rank J = 3, n - d_traj = 3, n = 6","locally sufficient, rank 3 = 6 - 3"
A.8b the unit-norm identities alone are not sufficient,PASS,"under-determined, necessity only: rank J = 2, n - d_traj = 3","under-determined, rank 2 < 3"
A.9 trivial filtered piece has dimension 14,PASS,14,14
A.9 undeflated least-varying direction is a trivial multiple,PASS,"fraction in component 1.0000, alignment with energy 0.0000","fraction 1.0, alignment 0.0"
A.9 undeflated fraction inside the trivial piece,PASS,1 (0.0% from the printed value),1
A.9 undeflated direction is not identified (degenerate subspace),PASS,near-null dimension 14,"14, so the direction is a tie-break not a property of the system"
A.9 deflated least-varying direction is the energy,PASS,alignment with energy 1.0000,alignment 1.0
A.9 deflated alignment with the energy,PASS,1 (0.0% from the printed value),1
A.10 no shipped release pair changed the dynamics,PASS,0 of 350 pairs differ,0 differ
A.10 number of release pairs audited,PASS,350,350 pairs (Sec. 9.5)
A.10 number of environments audited,PASS,11 environments,11 environments
A.10 largest first-step separation is float noise,PASS,2.220e-16,< 1e-13
A.10 largest first-step separation,PASS,2.22e-16 (0.0% from the printed value),2.22e-16
A.10 chaotic amplification is confined to the chaotic environment,PASS,"13 pairs over ['InvertedDoublePendulum-v4', 'InvertedDoublePendulum-v5']","13 pairs, InvertedDoublePendulum v4 and v5 only"
A.10 largest separation off the chaotic environment,PASS,9.104e-15 (0.0% from the printed value),9.1e-15
A.10 chaotic pair starts at one unit in the last place,PASS,2.22e-16 (0.0% from the printed value),2.22e-16
A.10 chaotic pair separation at step 400,PASS,0.06433 (0.0% from the printed value),0.0643
A.10 growth rate on the first chaotic pair,PASS,32.4 (0.0% from the printed value),32.4
A.10 growth rate on the second chaotic pair,PASS,41.6 (0.0% from the printed value),41.6
A.10 the chaotic pairs climb fourteen decades,PASS,14.5 and 14.0 decades,fourteen each
A.10 non-chaotic control does not amplify over the same pair,PASS,"step 0 5.551e-17, step 400 5.551e-17",flat at 5.6e-17
A.10 non-chaotic control separation at step 400,PASS,5.551e-17 (0.0% from the printed value),5.55e-17
A.10 control nips_coriolis localises to energy alone,PASS,localised 'energy',localised 'energy'
A.10 control nips_coriolis energy residual ratio,PASS,4.207 (0.1% from the printed value),4.21
A.10 control m2_1.3 localises to energy alone,PASS,localised 'energy',localised 'energy'
A.10 control m2_1.3 energy residual ratio,PASS,11.56 (0.0% from the printed value),11.56
A.10 controls leave both unit-norm identities clean,PASS,0 of 12 broken,0 broken
A.10 reference energy drift at dt=0.2,PASS,0.003554 (0.1% from the printed value),0.00355
A.10 reference energy drift at dt=0.05,PASS,4.189e-06 (0.0% from the printed value),4.19e-06
A.10 reference energy drift at dt=0.01,PASS,1.519e-08 (0.0% from the printed value),1.52e-08
A.10 drift floor falls by >100x from dt=0.2 to dt=0.05,PASS,848.3x,>100x
A.10 at shipped dt the screen misses a 1% mass error,PASS,smallest localised 0.03,3e-2
A.10 at dt=0.05 the screen reaches the bottom of the sweep,PASS,smallest localised 0.001,<=1e-3
A.10 float32 classic-control observations floor unit-norm,PASS,1.696e-08 (0.2% from the printed value),1.7e-08
A.10 float64 MuJoCo observations reach machine precision,PASS,3.57e-17 (0.0% from the printed value),3.57e-17
A.10 Reacher fk residual sits far above its unit-norm floor,PASS,fk-y 1.584e-07 against unit-norm 3.570e-17,nine orders apart
A.10 Reacher fk-x residual,PASS,1.11e-08 (0.9% from the printed value),1.1e-08
A.10 Reacher fk-y residual,PASS,1.584e-07 (0.3% from the printed value),1.58e-07
A.10 the quoted Reacher configuration is present,PASS,"8 rows at gymnasium/mujoco ('1.3.0', '3.10.0')","8 rows, four conditions on each of v4 and v5"
A.10 Reacher fk holds after mj_forward,PASS,2.082e-17 (0.1% from the printed value),2.08e-17
A.10 Reacher fk median residual after mj_step,PASS,6.199e-09 (0.0% from the printed value),6.2e-09
A.10 Reacher fk maximum residual after mj_step,PASS,2.274e-08 (0.2% from the printed value),2.27e-08
A.10 Reacher fk residual outside joint1's limit,PASS,0.0002461 (0.0% from the printed value),0.000246
A.10 the Reacher finding reproduces on v4 and v5,PASS,v4 and v5 agree,identical on both versions
A.10 the Reacher finding spans six installed configurations,PASS,6 configurations,at least 6 (run reacher_fk.py --across-releases)
A.10 a step in which nothing moves leaves fk intact,PASS,2.776e-17 (0.2% from the printed value),2.78e-17
A.11 an exact parameter fault is named,PASS,"parameter fault, m2","parameter fault, m2"
A.11 a generator no hypothesis fits is not consistent with spec,PASS,not explicable as a parameter fault,not explicable as a parameter fault
"A.11 the winner there is separated, so the fit and not the gap decided",PASS,"separated=True, fits=False",separated but not fitting
A.11 a dz leak above the residual floor is flagged,PASS,True,True
A.11 a dz leak 22 orders below the floor is not,PASS,False,False
A.11 numerical_nullspace finds all 7 directions when M > N,PASS,7 directions,7
A.11 and they really are in the nullspace,PASS,4.0e-16,< 1e-12
A.11 the random control's spread matches the energy's,PASS,5.753 (0.0% from the printed value),5.753
A.11 MMD bandwidth is selected from an unlabelled pooled sample,PASS,pooled rng-selected rows,"pooled, permutation-invariant selection"
A.11 screening defaults to the trajectory-level exact null,PASS,trajectory,trajectory
A.11 E3's full random-control design uses ten polynomial draws,PASS,10,10
A.11 E3 figure aggregates random curves at the draw unit,PASS,"mean=[5.0, 5.0], se=[5.0, 5.0]","mean=[5, 5], se=[5, 5] over two draw means"
A.11 E3 results retain ten draws and draw-level summaries,PASS,"20/20 conditions, aggregates=['random_across_draws', 'randstep_across_draws']",20 random conditions and two 10-draw summaries
A.11 E3 table matches ten-draw random-control summaries,PASS,"random: -195.3 [-443.6, -126.7]; randstep: -162.2 [-214.0, -135.1]",draw mean and range transcribed in tab:shaping
A.11 the shaping potential is recovered at all,PASS,recovered,a direction with a decisive gap
A.11 recovered energy against the analytic form,PASS,2.835e-08 (1.3% from the printed value),2.8e-08
A.11 the correct potential's target E*,PASS,19.6 (0.0% from the printed value),19.6
A.11 target E* at a 10% mass error,PASS,21.07 (0.0% from the printed value),21.07
A.11 target E* at a 30% mass error,PASS,24.01 (0.0% from the printed value),24.01
A.11 target E* at a 100% mass error,PASS,34.3 (0.0% from the printed value),34.3
A.11 target E* at a 300% mass error,PASS,63.7 (0.0% from the printed value),63.7
A.12 every cell of tab:roc matches the CSV,PASS,all 48 cells match,"48 rates, to the two decimals printed"
A.12 the screen's exact-null p-value floor,PASS,0.0002331 (0.0% from the printed value),0.000233
A.12 MMD's permutation p-value floor,PASS,9.999e-05 (0.0% from the printed value),0.0001
A.12 the censoring marks follow each method's own floor,PASS,all marks agree,censored exactly below the floor
A.12 no method false-alarms anywhere in the table,PASS,max FPR 0,0.00 over the two controls
A.12 Wilson upper bound on a zero rate over two controls,PASS,0.6576 (0.4% from the printed value),0.66
A.13 the ablation screens the same fifteen faults as E1,PASS,[15],15
A.13 perturbing every coefficient by 1e-4 loses at most one localisation,PASS,14/15 worst of 62 runs,at least 14/15 in every run
A.13 largest coefficient deviation the screen survives,PASS,9.829e-05 (0.0% from the printed value),9.83e-05
A.13 at 1e-3 the screen starts losing faults,PASS,"(13, 14)","(13, 14)"
A.13 at 1e-1 it has lost most of them,PASS,"(3, 4)","(3, 4)"
A.13 no perturbation magnitude raises a false alarm,PASS,0/184,0 over 184 healthy controls
A.13 the perturbation sweep covers 184 controls,PASS,184,184
A.13 a numerically recovered set on clean data,PASS,2.443e-08 (0.1% from the printed value),2.44e-08
A.13 exact set at sigma=0e+00 localises 15/15,PASS,15/15,15/15
A.13 recovered set at sigma=0e+00 localises 15/15,PASS,15/15,15/15
A.13 exact set at sigma=1e-06 localises 14/15,PASS,14/15,14/15
A.13 recovered set at sigma=1e-06 localises 14/15,PASS,14/15,14/15
A.13 exact set at sigma=1e-04 localises 13/15,PASS,13/15,13/15
A.13 recovered set at sigma=1e-04 localises 3/15,PASS,3/15,3/15
A.13 forced set at sigma=1e-04 localises 11/15,PASS,11/15,11/15
A.13 at sigma=1e-4 the recovery drops the energy generator,PASS,acrobot:energy|reacher:dz=0,acrobot:energy
A.13 the forced energy at sigma=1e-4 is not the energy,PASS,coefficient deviation 1.00,"order 1, i.e. a different direction"
A.13 the equality decision separates every perturbed set,PASS,90/90 declared different,90/90
A.13 the smallest perturbation it still separates,PASS,1e-12 (0.0% from the printed value),1e-12
A.13 and it holds on the unperturbed set,PASS,"['True', 'True']",True for both systems
